Frame  Ab-initio (eV)      PIPNN (eV)      Error (eV)
  284       -0.592835       -0.592780        0.000055
  285       -0.592835       -0.592780        0.000055
  286       -0.592835       -0.592780        0.000055
  287       -0.592835       -0.592780        0.000055
  288       -0.592835       -0.592780        0.000055
  289       -0.592835       -0.592780        0.000055
  290       -0.592835       -0.592780        0.000055
  291       -0.592835       -0.592780        0.000055
  292       -0.592835       -0.592780        0.000055
  293       -0.592835       -0.592780        0.000055
  294       -0.592835       -0.592780        0.000055
  295       -0.592835       -0.592780        0.000055
  296       -0.592835       -0.592780        0.000055
  297       -0.592835       -0.592780        0.000055
  298       -0.592835       -0.592780        0.000055
  299       -0.592835       -0.592780        0.000055
  300       -0.592835       -0.592780        0.000055
  301       -0.592835       -0.592780        0.000055
